,0,1,2
0,1.0,0.0,1.0
1,1.0,0.0,10.0
2,1.0,0.0,1.0
3,1.0,1.0,1.0
4,1.0,1.0,7.0
5,1.0,1.0,2.0
6,0.0,1.0,6.0
7,1.0,1.0,4.0
8,0.0,1.0,3.0
9,1.0,0.0,11.0
10,1.0,1.0,9.0
11,0.0,1.0,7.0
12,0.0,1.0,2.0
13,0.0,0.0,4.0
14,0.0,1.0,1.0
15,0.0,1.0,4.0
16,1.0,1.0,2.0
17,0.0,1.0,4.0
18,1.0,0.0,2.0
19,0.0,0.0,4.0
20,0.0,0.0,3.0
21,1.0,1.0,3.0
22,0.0,1.0,2.0
23,1.0,1.0,3.0
24,0.0,0.0,3.0
25,1.0,1.0,2.0
26,1.0,0.0,6.0
27,1.0,0.0,3.0
28,1.0,1.0,3.0
29,1.0,0.0,8.0
30,0.0,1.0,1.0
31,0.0,1.0,1.0
32,0.0,0.0,2.0
33,0.0,1.0,2.0
34,0.0,1.0,1.0
35,0.0,1.0,2.0
36,1.0,0.0,2.0
37,0.0,1.0,5.0
38,1.0,0.0,1.0
39,1.0,1.0,2.0
40,0.0,1.0,1.0
41,0.0,1.0,1.0
42,1.0,1.0,3.0
43,1.0,1.0,1.0
44,1.0,1.0,2.0
45,1.0,0.0,2.0
46,0.0,1.0,2.0
47,1.0,1.0,4.0
48,1.0,1.0,3.0
49,1.0,1.0,4.0
50,1.0,1.0,1.0
51,1.0,1.0,1.0
52,1.0,1.0,5.0
53,0.0,0.0,1.0
54,0.0,1.0,1.0
55,0.0,0.0,4.0
56,1.0,0.0,4.0
57,0.0,1.0,1.0
58,1.0,1.0,5.0
59,1.0,1.0,4.0
60,1.0,1.0,5.0
61,0.0,1.0,1.0
62,0.0,1.0,6.0
63,0.0,1.0,3.0
64,1.0,1.0,8.0
65,0.0,1.0,1.0
66,0.0,1.0,2.0
67,0.0,1.0,1.0
68,1.0,1.0,2.0
69,0.0,1.0,1.0
70,1.0,1.0,3.0
71,0.0,1.0,5.0
72,1.0,1.0,5.0
73,1.0,1.0,2.0
74,1.0,1.0,3.0
75,1.0,1.0,4.0
76,0.0,1.0,4.0
77,1.0,1.0,3.0
78,1.0,1.0,6.0
79,0.0,1.0,6.0
80,0.0,1.0,1.0
81,0.0,1.0,1.0
82,0.0,0.0,1.0
83,1.0,1.0,1.0
84,0.0,1.0,1.0
85,1.0,1.0,1.0
86,1.0,1.0,2.0
87,1.0,1.0,4.0
88,0.0,0.0,7.0
89,1.0,1.0,4.0
90,1.0,1.0,6.0
91,0.0,0.0,2.0
92,0.0,1.0,1.0
93,1.0,1.0,1.0
94,0.0,1.0,1.0
95,1.0,1.0,2.0
96,1.0,0.0,2.0
97,1.0,1.0,5.0
98,0.0,0.0,1.0
99,0.0,1.0,2.0
